Order_ID,Product,Category,Region,Sales,Quantity,Discount,Profit,Customer_Age,Rating
ORD-00121,Desk,Furniture,West,1046.27,2,26.32,939.13,61,2.8
ORD-00122,Laptop,Electronics,West,1410.07,13,24.8,-293.67,61,1.6
ORD-00123,Monitor,Furniture,North,1562.1,10,29.75,626.57,34,2.3
ORD-00124,Tablet,Office Supplies,North,945.42,8,17.95,562.0,62,4.1
ORD-00125,Chair,Electronics,South,514.6,8,40.82,-460.2,39,2.5
ORD-00126,Phone,Furniture,West,1722.94,11,28.4,449.72,47,2.6
ORD-00127,Monitor,Furniture,North,1660.8,13,27.99,671.73,24,1.3
ORD-00128,Chair,Furniture,East,1721.79,3,12.39,-208.02,44,1.3
ORD-00129,Chair,Furniture,South,1655.05,14,24.79,475.38,28,4.8
ORD-00130,Laptop,Electronics,East,283.56,7,45.37,-346.75,44,2.6
ORD-00131,Chair,Furniture,East,841.13,9,27.68,565.94,35,1.7
ORD-00132,Tablet,Office Supplies,West,399.24,9,5.63,970.84,19,2.9
ORD-00133,Monitor,Office Supplies,East,327.28,4,26.06,629.72,41,2.1
ORD-00134,Chair,Electronics,West,1567.37,6,9.36,-192.36,36,2.0
ORD-00135,Laptop,Electronics,South,973.05,10,45.69,402.67,63,1.3
ORD-00136,Tablet,Office Supplies,East,199.59,11,26.52,323.18,45,4.9
ORD-00137,Desk,Office Supplies,West,824.05,5,36.69,-323.29,52,4.3
ORD-00138,Monitor,Electronics,East,1986.73,9,3.03,398.54,28,4.9
ORD-00139,Chair,Office Supplies,North,440.53,5,20.28,328.07,48,3.7
ORD-00140,Laptop,Office Supplies,North,806.38,11,29.83,-326.99,19,1.1
ORD-00141,Desk,Electronics,East,1197.13,10,5.58,-42.09,48,4.9
ORD-00142,Desk,Electronics,North,415.19,9,2.96,743.57,47,1.5
ORD-00143,Phone,Furniture,South,1936.16,12,45.84,674.1,52,3.0
ORD-00144,Tablet,Furniture,North,1277.11,11,5.68,-437.04,29,1.3
ORD-00145,Chair,Office Supplies,South,474.23,7,26.12,189.44,62,1.2
ORD-00146,Laptop,Electronics,West,904.27,5,47.24,931.33,56,2.8
ORD-00147,Phone,Furniture,South,734.58,2,0.67,621.0,30,1.6
ORD-00148,Tablet,Office Supplies,West,262.18,9,42.69,-314.33,27,1.7
ORD-00149,Phone,Office Supplies,North,583.52,7,10.41,823.11,34,2.2
ORD-00150,Monitor,Office Supplies,West,1116.36,3,46.61,-364.01,20,2.3
ORD-00151,Tablet,Office Supplies,North,194.46,8,24.84,178.58,64,4.3
ORD-00152,Tablet,Electronics,West,115.63,9,7.28,678.49,42,1.4
ORD-00153,Chair,Office Supplies,South,1091.84,3,25.68,109.77,62,4.3
ORD-00154,Tablet,Furniture,East,879.46,9,31.45,214.96,32,1.9
ORD-00155,Phone,Electronics,East,392.75,1,30.68,568.62,55,2.4
ORD-00156,Tablet,Office Supplies,East,1431.24,10,36.88,-239.99,61,2.5
ORD-00157,Chair,Furniture,West,194.0,13,49.52,656.05,42,1.5
ORD-00158,Chair,Furniture,East,555.39,10,16.62,278.16,36,3.5
ORD-00159,Monitor,Electronics,North,220.56,11,31.09,38.19,59,3.7
ORD-00160,Phone,Electronics,North,1460.66,12,3.18,-367.3,21,1.7
ORD-00161,Desk,Electronics,South,1272.79,5,26.13,229.27,56,2.6
ORD-00162,Desk,Furniture,West,393.14,8,48.75,983.29,35,1.1
ORD-00163,Tablet,Furniture,South,1123.59,7,22.49,92.15,35,2.4
ORD-00164,Monitor,Office Supplies,East,1399.02,4,38.3,351.54,30,1.8
ORD-00165,Laptop,Electronics,West,87.66,1,19.42,329.55,61,2.9
ORD-00166,Tablet,Electronics,South,1333.18,1,47.73,425.55,23,4.2
ORD-00167,Monitor,Electronics,North,636.82,12,19.28,-497.91,23,4.9
ORD-00168,Phone,Electronics,East,287.79,7,40.63,-153.2,45,4.9
ORD-00169,Phone,Furniture,East,1645.89,12,39.27,564.67,37,3.6
ORD-00170,Phone,Electronics,East,1220.14,6,7.53,416.98,25,1.5
ORD-00171,Phone,Furniture,South,1102.14,5,42.36,-250.11,42,1.8
ORD-00172,Phone,Furniture,East,1676.2,7,35.32,-143.71,43,1.1
ORD-00173,Monitor,Electronics,North,544.92,13,8.48,293.43,42,3.6
ORD-00174,Monitor,Furniture,East,47.97,14,12.36,427.39,33,3.0
ORD-00175,Chair,Furniture,South,1898.48,6,16.72,-166.18,64,4.5
ORD-00176,Desk,Electronics,South,540.28,3,0.55,-387.65,25,4.7
ORD-00177,Phone,Electronics,East,1274.03,11,29.6,780.52,20,2.8
ORD-00178,Laptop,Office Supplies,East,1954.52,2,33.88,-267.16,49,3.3
ORD-00179,Monitor,Furniture,South,482.57,10,18.31,-300.1,44,4.1
ORD-00180,Laptop,Furniture,North,1985.59,1,16.33,512.69,43,3.9
ORD-00181,Laptop,Office Supplies,North,1086.54,9,36.85,-64.02,39,1.7
ORD-00182,Laptop,Office Supplies,East,1918.76,9,16.01,-350.99,36,4.0
ORD-00183,Chair,Electronics,East,190.36,2,4.63,903.93,23,1.6
ORD-00184,Monitor,Office Supplies,East,1071.43,13,27.26,-231.18,36,3.2
ORD-00185,Laptop,Electronics,South,1889.84,12,39.55,497.2,32,3.1
ORD-00186,Phone,Electronics,West,327.95,7,29.81,201.11,33,2.4
ORD-00187,Tablet,Electronics,West,564.91,8,35.13,-379.36,41,2.9
ORD-00188,Laptop,Furniture,South,440.7,11,38.95,-167.19,22,1.6
ORD-00189,Chair,Furniture,East,1931.58,11,46.63,300.26,27,1.9
ORD-00190,Monitor,Electronics,West,541.79,2,40.64,-170.41,29,2.6
ORD-00191,Chair,Office Supplies,South,259.49,10,22.16,124.11,46,2.0
ORD-00192,Laptop,Furniture,South,1597.68,12,14.35,-12.94,34,2.3
ORD-00193,Monitor,Furniture,North,1036.74,2,0.5,731.46,36,1.4
ORD-00194,Tablet,Office Supplies,South,1187.99,3,19.03,837.34,45,2.6
ORD-00195,Laptop,Furniture,East,1221.49,7,10.4,178.11,37,4.9
ORD-00196,Chair,Office Supplies,North,1233.75,10,32.74,565.59,50,2.0
ORD-00197,Desk,Office Supplies,West,919.45,8,19.51,-162.06,54,4.9
ORD-00198,Phone,Furniture,South,1951.62,7,40.17,210.93,31,3.3
ORD-00199,Chair,Office Supplies,North,364.74,3,49.78,-251.7,40,3.2
ORD-00200,Monitor,Office Supplies,South,1916.56,8,39.44,42.04,52,2.7
ORD-00201,Laptop,Electronics,South,598.96,14,38.48,-383.72,47,1.1
ORD-00202,Phone,Electronics,North,396.04,1,23.09,239.12,54,3.1
ORD-00203,Laptop,Furniture,West,1258.95,6,19.51,-31.92,37,4.2
ORD-00204,Monitor,Office Supplies,South,1785.86,9,4.9,-360.59,33,4.0
ORD-00205,Laptop,Furniture,East,738.59,12,30.4,709.28,24,2.7
ORD-00206,Desk,Furniture,West,169.34,7,15.93,640.94,33,3.4
ORD-00207,Phone,Electronics,West,1082.34,14,24.44,598.28,42,1.7
ORD-00208,Phone,Office Supplies,South,1970.63,2,26.12,927.93,53,1.8
ORD-00209,Monitor,Furniture,West,791.33,1,26.85,719.72,38,3.0
ORD-00210,Desk,Furniture,North,59.5,8,19.31,479.73,41,1.0
ORD-00211,Chair,Electronics,North,1011.74,14,19.23,-164.27,30,2.5
ORD-00212,Laptop,Electronics,West,779.81,3,4.87,-383.24,29,1.7
ORD-00213,Tablet,Electronics,South,152.04,12,18.69,-481.83,21,4.2
ORD-00214,Laptop,Furniture,East,1752.16,5,39.36,-371.04,37,2.1
ORD-00215,Laptop,Office Supplies,South,1245.15,11,16.32,-491.78,61,3.7
ORD-00216,Chair,Electronics,South,325.33,5,22.48,-369.89,31,2.9
ORD-00217,Laptop,Electronics,South,1853.38,9,22.69,354.72,40,3.9
ORD-00218,Desk,Office Supplies,West,1160.96,11,38.22,-401.89,63,4.2
ORD-00219,Desk,Furniture,West,1384.61,11,18.39,-14.96,19,1.8
ORD-00220,Phone,Furniture,South,1175.16,8,8.49,823.61,40,4.3
ORD-00221,Monitor,Office Supplies,East,1957.14,13,1.73,928.08,57,3.0
ORD-00222,Tablet,Electronics,South,1783.46,13,38.15,568.94,43,2.6
ORD-00223,Laptop,Office Supplies,East,52.71,2,22.65,680.58,61,3.4
ORD-00224,Laptop,Furniture,South,48.89,2,22.23,406.49,42,4.5
ORD-00225,Chair,Furniture,East,986.6,5,16.15,903.74,37,2.1
ORD-00226,Monitor,Electronics,South,641.84,5,2.64,356.24,48,2.0
ORD-00227,Desk,Electronics,North,1086.97,7,37.04,560.68,30,1.3
ORD-00228,Tablet,Office Supplies,West,689.94,8,38.78,207.17,61,1.3
ORD-00229,Phone,Furniture,South,1758.85,13,47.09,-191.23,62,3.9
ORD-00230,Desk,Furniture,West,356.2,13,21.39,572.1,50,4.1
ORD-00231,Monitor,Office Supplies,South,133.41,4,7.57,-145.74,46,4.0
ORD-00232,Phone,Electronics,West,698.98,3,20.24,-319.16,56,1.9
ORD-00233,Chair,Furniture,North,295.5,14,19.32,775.31,59,2.0
ORD-00234,Chair,Furniture,West,1191.21,4,27.18,202.2,43,1.5
ORD-00235,Laptop,Electronics,North,955.53,3,9.08,-116.51,60,4.6
ORD-00236,Monitor,Furniture,West,1421.77,9,17.93,417.74,34,3.6
ORD-00237,Tablet,Electronics,South,164.13,1,46.62,864.72,34,2.5
ORD-00238,Phone,Office Supplies,East,1513.69,5,42.13,-97.34,55,4.5
ORD-00239,Desk,Electronics,West,567.6,14,5.97,853.48,29,2.4
ORD-00240,Monitor,Electronics,North,1349.44,2,2.22,12.63,51,2.7
ORD-00241,Monitor,Office Supplies,North,596.19,5,28.8,-109.85,20,2.0
ORD-00242,Chair,Furniture,West,1670.91,12,43.14,-394.69,22,1.7
ORD-00243,Laptop,Furniture,North,1671.5,7,27.42,778.25,29,2.3
ORD-00244,Laptop,Electronics,North,626.49,12,16.45,-168.05,30,4.6
ORD-00245,Phone,Electronics,North,1820.92,3,49.36,-109.05,22,4.7
ORD-00246,Chair,Office Supplies,North,655.65,3,0.02,673.49,35,1.7
ORD-00247,Monitor,Office Supplies,West,1793.47,14,4.11,822.98,60,4.3
ORD-00248,Tablet,Furniture,South,402.42,4,2.23,901.33,37,1.2
ORD-00249,Chair,Furniture,South,590.07,11,4.65,480.52,43,4.9
ORD-00250,Phone,Office Supplies,North,1770.69,4,26.15,835.77,62,3.2
ORD-00251,Phone,Electronics,East,180.03,7,14.3,122.53,29,4.4
ORD-00252,Chair,Office Supplies,West,1409.53,2,47.91,795.23,23,4.4
ORD-00253,Phone,Furniture,West,1370.34,8,39.18,835.05,62,4.6
ORD-00254,Chair,Electronics,East,1944.88,14,10.22,406.67,23,4.0
ORD-00255,Desk,Office Supplies,West,1945.11,10,17.67,133.79,43,2.7
ORD-00256,Chair,Furniture,East,971.38,14,43.49,-380.47,49,2.7
ORD-00257,Chair,Electronics,South,1323.64,7,8.58,847.83,60,3.1
ORD-00258,Phone,Electronics,South,328.46,6,35.09,780.44,54,4.5
ORD-00259,Phone,Electronics,South,467.63,5,28.14,106.19,56,1.1
ORD-00260,Laptop,Electronics,South,1125.71,7,27.57,79.61,43,3.9
ORD-00261,Laptop,Electronics,North,490.43,9,31.41,37.5,18,4.7
ORD-00262,Desk,Office Supplies,North,449.41,2,18.54,-286.67,38,1.6
ORD-00263,Laptop,Electronics,West,65.23,12,31.38,711.41,57,3.5
ORD-00264,Chair,Office Supplies,East,165.22,13,37.7,112.32,46,2.6
ORD-00265,Phone,Electronics,East,1428.63,11,26.22,15.46,28,4.4
ORD-00266,Laptop,Furniture,North,48.38,6,22.29,626.95,48,2.9
ORD-00267,Laptop,Electronics,East,1793.65,14,4.05,910.52,26,2.1
ORD-00268,Desk,Office Supplies,South,175.75,2,0.98,112.34,58,1.1
ORD-00269,Monitor,Furniture,East,330.02,3,15.33,523.0,64,1.4
ORD-00270,Desk,Furniture,South,693.88,9,1.52,-361.88,25,1.8
ORD-00271,Chair,Office Supplies,West,1458.78,6,47.92,824.78,57,1.8
ORD-00272,Phone,Furniture,East,1407.42,13,0.85,913.87,48,3.7
ORD-00273,Desk,Office Supplies,South,508.19,6,47.56,-305.94,44,4.0
ORD-00274,Laptop,Electronics,West,667.45,11,33.39,412.01,54,4.6
ORD-00275,Phone,Electronics,West,1646.04,12,5.34,217.89,63,4.7
ORD-00276,Phone,Office Supplies,West,1003.62,11,12.71,472.14,60,4.4
ORD-00277,Laptop,Electronics,East,927.24,6,48.9,-276.42,29,5.0
ORD-00278,Desk,Furniture,South,1274.28,2,0.21,586.58,47,3.2
ORD-00279,Laptop,Electronics,North,924.56,6,1.14,30.57,40,3.2
ORD-00280,Monitor,Electronics,North,879.32,5,44.24,430.3,61,3.7
ORD-00281,Phone,Furniture,South,1601.24,7,24.74,343.56,57,1.7
ORD-00282,Tablet,Furniture,West,1864.22,3,3.45,833.09,64,1.5
ORD-00283,Tablet,Electronics,North,1107.54,5,40.55,213.89,33,4.2
ORD-00284,Chair,Electronics,East,592.89,14,20.49,927.48,24,2.2
ORD-00285,Laptop,Electronics,West,1900.42,1,21.97,-458.81,22,4.0
ORD-00286,Laptop,Office Supplies,North,1409.84,10,42.59,33.38,44,2.8
ORD-00287,Chair,Office Supplies,South,1315.56,3,1.37,265.91,59,2.3
ORD-00288,Chair,Electronics,North,1221.21,2,44.16,-447.14,38,3.2
ORD-00289,Chair,Electronics,East,1485.95,5,38.69,531.79,45,1.7
ORD-00290,Phone,Furniture,South,1555.71,12,9.87,-137.46,62,2.8
ORD-00291,Monitor,Electronics,North,1586.54,9,19.9,-485.44,53,3.7
ORD-00292,Laptop,Electronics,North,1952.09,8,29.1,67.19,24,4.8
ORD-00293,Phone,Office Supplies,North,834.18,9,11.56,165.66,18,3.1
ORD-00294,Chair,Office Supplies,West,500.42,2,13.13,952.66,59,2.3
ORD-00295,Laptop,Office Supplies,West,800.32,14,25.84,-301.46,19,4.8
ORD-00296,Phone,Furniture,East,1538.26,11,29.75,-102.85,38,2.3
ORD-00297,Monitor,Electronics,North,1090.59,4,18.16,952.38,39,4.3
ORD-00298,Phone,Office Supplies,East,1732.09,8,47.87,639.28,43,2.9
ORD-00299,Monitor,Furniture,South,487.56,2,8.06,-1.35,42,4.3
ORD-00300,Chair,Electronics,East,1479.31,12,16.83,236.2,30,4.9
ORD-00301,Monitor,Electronics,West,513.72,3,38.49,826.81,42,4.5
ORD-00302,Laptop,Furniture,North,1602.25,9,31.11,709.89,19,1.5
ORD-00303,Chair,Electronics,West,887.7,12,5.6,87.16,36,1.1
ORD-00304,Laptop,Furniture,South,1979.04,13,14.15,-374.91,40,1.0
ORD-00305,Tablet,Furniture,West,1344.09,3,24.63,-281.4,30,2.4
ORD-00306,Desk,Office Supplies,North,1488.63,14,22.6,269.76,48,2.0
ORD-00307,Monitor,Furniture,West,104.59,3,19.49,608.98,29,4.3
ORD-00308,Desk,Office Supplies,North,1412.07,2,0.48,164.54,21,2.2
ORD-00309,Desk,Electronics,East,849.27,10,12.48,470.09,30,3.0
ORD-00310,Monitor,Office Supplies,North,659.8,13,9.86,491.82,38,1.1
ORD-00311,Chair,Furniture,East,1594.49,3,1.85,363.89,28,1.7
ORD-00312,Tablet,Office Supplies,South,472.7,10,19.45,272.82,28,1.6
ORD-00313,Laptop,Electronics,South,380.01,4,3.78,-148.31,25,4.4
ORD-00314,Phone,Office Supplies,West,723.53,9,4.61,-280.06,20,3.9
ORD-00315,Laptop,Electronics,South,1266.11,3,46.97,858.84,19,2.5
ORD-00316,Phone,Furniture,North,529.49,13,30.96,115.87,24,1.6
ORD-00317,Laptop,Office Supplies,West,1126.02,12,25.04,690.72,31,2.3
ORD-00318,Monitor,Electronics,West,782.0,3,12.23,-54.8,38,2.1
ORD-00319,Tablet,Electronics,East,805.49,9,12.9,385.84,21,2.5
ORD-00320,Phone,Office Supplies,North,422.17,2,16.39,-270.21,63,2.5
ORD-00321,Chair,Office Supplies,North,657.77,7,3.76,228.2,49,2.8
ORD-00322,Laptop,Office Supplies,East,562.21,5,34.18,40.1,50,1.3
ORD-00323,Laptop,Office Supplies,North,502.01,9,14.29,-70.93,64,3.2
ORD-00324,Phone,Office Supplies,South,179.94,10,46.45,-294.87,60,3.3
ORD-00325,Chair,Electronics,East,877.48,9,17.15,782.65,52,2.9
ORD-00326,Chair,Furniture,South,504.48,14,41.06,979.22,34,4.9
ORD-00327,Monitor,Electronics,North,1922.82,3,11.22,618.88,50,1.4
ORD-00328,Monitor,Office Supplies,West,1211.37,10,49.02,679.06,60,4.7
ORD-00329,Monitor,Office Supplies,North,934.79,10,17.79,-83.66,45,1.7
ORD-00330,Monitor,Furniture,South,689.22,12,47.47,491.27,36,4.6
ORD-00331,Monitor,Office Supplies,West,932.32,9,41.08,-401.14,25,2.7
ORD-00332,Monitor,Furniture,North,696.1,5,10.19,450.97,35,3.5
ORD-00333,Tablet,Office Supplies,North,1716.57,2,45.9,653.38,24,3.5
ORD-00334,Chair,Electronics,West,526.56,10,4.5,-436.26,35,2.4
ORD-00335,Monitor,Furniture,East,574.33,1,9.53,-126.35,51,3.8
ORD-00336,Chair,Electronics,East,1425.05,12,27.53,360.54,31,1.9
ORD-00337,Chair,Office Supplies,South,1803.84,11,43.8,77.58,55,5.0
ORD-00338,Desk,Electronics,West,1366.63,5,19.93,319.75,47,2.1
ORD-00339,Tablet,Electronics,North,187.76,7,8.27,511.69,48,4.4
ORD-00340,Monitor,Electronics,South,1799.99,10,1.51,752.13,46,1.6
ORD-00341,Laptop,Furniture,West,1543.26,8,37.99,-349.32,38,4.6
ORD-00342,Phone,Furniture,North,494.64,2,33.2,957.48,36,5.0
ORD-00343,Laptop,Furniture,East,143.96,4,26.41,347.95,54,3.2
ORD-00344,Tablet,Electronics,East,1440.61,5,8.43,-390.77,53,4.4
ORD-00345,Phone,Electronics,North,484.47,9,9.99,-36.78,58,1.3
ORD-00346,Tablet,Office Supplies,East,1057.15,2,31.18,-262.45,18,2.2
ORD-00347,Chair,Furniture,East,197.33,1,49.95,-4.61,46,3.9
ORD-00348,Phone,Office Supplies,North,1144.96,4,6.73,-227.41,22,4.3
