CarID,Brand,Model,Year,Price,Mileage,Fuel,Color,Owner,Location
87,Nissan,Unknown Model,2012,0,100000,Unknown Fuel,Unknown Color,Third,Unknown Location
88,Toyota,Unknown Model,0,30000,100000,Diesel,Black,Unknown Owner,Unknown Location
89,Tesla,Unknown Model,2010,50000,100000,Hybrid,White,Unknown Owner,New York
90,Ford,Unknown Model,0,60000,45000,Diesel,Gray,First,Houston
91,Hyundai,Corolla,0,60000,30000,Hybrid,Blue,Third,Phoenix
92,Tesla,Model S,0,30000,0,Diesel,White,Second,Unknown Location
93,Ford,Civic,2010,0,0,Unknown Fuel,Silver,First,Chicago
94,Nissan,Model S,2010,20000,30000,Hybrid,Gray,Unknown Owner,Miami
95,Nissan,Civic,2010,25000,0,Unknown Fuel,Silver,Third,Phoenix
96,Nissan,Focus,2010,25000,100000,Hybrid,Black,First,Phoenix
97,Ford,Mustang,0,0,30000,Diesel,White,Unknown Owner,New York
98,Tesla,Unknown Model,2015,0,75000,Diesel,Red,Second,Houston
99,Nissan,Focus,2018,25000,100000,Diesel,Gray,Third,New York
100,Honda,Focus,2012,60000,100000,Hybrid,Unknown Color,First,Houston
101,Unknown Brand,Mustang,2015,25000,100000,Electric,Blue,Unknown Owner,Phoenix
102,Ford,Civic,2020,50000,45000,Petrol,Gray,First,Unknown Location
103,Ford,Corolla,2020,40000,15000,Hybrid,White,Second,Chicago
104,Tesla,Unknown Model,2020,0,60000,Hybrid,Unknown Color,Unknown Owner,Los Angeles
105,Ford,Accord,2012,50000,75000,Electric,Red,Third,Unknown Location
106,Ford,Mustang,2010,30000,60000,Diesel,Gray,Third,Los Angeles
107,Nissan,Mustang,2020,20000,75000,Unknown Fuel,Gray,Second,Houston
108,Tesla,Focus,2020,20000,100000,Petrol,Gray,First,Houston
109,Nissan,Model S,2018,40000,45000,Electric,Blue,Unknown Owner,Houston
110,Unknown Brand,Unknown Model,2015,50000,30000,Unknown Fuel,Silver,Third,Phoenix
111,Hyundai,Corolla,0,0,15000,Unknown Fuel,Red,First,Unknown Location
112,Unknown Brand,Unknown Model,2012,20000,45000,Hybrid,Black,Third,Unknown Location
113,Hyundai,Accord,2012,20000,100000,Petrol,White,Third,Houston
114,Nissan,Accord,2018,20000,45000,Petrol,Black,Unknown Owner,Phoenix
115,Unknown Brand,Focus,2020,25000,45000,Petrol,Gray,Second,Chicago
116,Tesla,Model S,0,40000,60000,Electric,Silver,First,Phoenix
117,Toyota,Focus,0,50000,45000,Electric,Black,First,Chicago
118,Nissan,Corolla,2018,30000,75000,Hybrid,Red,First,Chicago
119,Hyundai,Civic,2010,25000,100000,Petrol,White,Third,Phoenix
120,Honda,Accord,2020,0,100000,Unknown Fuel,Unknown Color,Unknown Owner,Unknown Location
121,Hyundai,Model S,0,60000,100000,Diesel,Red,Unknown Owner,Unknown Location
122,Honda,Accord,2012,60000,60000,Hybrid,Unknown Color,Unknown Owner,New York
123,Ford,Corolla,0,60000,100000,Diesel,Blue,Second,Miami
124,Unknown Brand,Corolla,2015,40000,0,Diesel,Gray,Unknown Owner,Unknown Location
125,Honda,Accord,2018,25000,45000,Hybrid,Silver,Unknown Owner,Miami
126,Hyundai,Focus,0,25000,100000,Petrol,Black,Third,Houston
127,Ford,Accord,0,40000,75000,Electric,Black,Second,Phoenix
128,Toyota,Focus,0,50000,100000,Hybrid,Black,First,New York
129,Tesla,Accord,2018,0,100000,Unknown Fuel,Blue,Unknown Owner,Houston
130,Tesla,Focus,2012,40000,15000,Unknown Fuel,Black,Unknown Owner,Houston
131,Tesla,Civic,0,40000,100000,Hybrid,Red,Second,New York
132,Honda,Unknown Model,0,0,60000,Hybrid,White,Second,Los Angeles
133,Toyota,Unknown Model,2020,25000,30000,Diesel,Blue,Second,Unknown Location
134,Honda,Focus,2020,0,0,Electric,Red,Second,Chicago
135,Unknown Brand,Focus,2020,60000,45000,Petrol,Gray,Unknown Owner,New York
136,Honda,Mustang,0,30000,60000,Unknown Fuel,White,First,Houston
137,Toyota,Mustang,0,0,30000,Electric,Red,Third,Unknown Location
138,Toyota,Civic,0,30000,75000,Diesel,Unknown Color,First,Miami
139,Unknown Brand,Unknown Model,2015,40000,100000,Electric,Blue,Unknown Owner,Phoenix
140,Toyota,Civic,2015,60000,45000,Petrol,White,First,Phoenix
141,Hyundai,Mustang,2020,20000,75000,Hybrid,White,Second,Chicago
142,Toyota,Mustang,2015,40000,100000,Hybrid,Black,Second,Chicago
143,Tesla,Corolla,2018,30000,60000,Hybrid,Silver,Third,Houston
144,Hyundai,Accord,0,0,45000,Diesel,Silver,First,Unknown Location
145,Hyundai,Mustang,2020,30000,60000,Petrol,Unknown Color,Second,Chicago
146,Unknown Brand,Unknown Model,2015,20000,15000,Electric,Silver,First,New York
147,BMW,Focus,0,40000,15000,Unknown Fuel,Unknown Color,Third,Chicago
148,BMW,Model S,0,30000,75000,Diesel,Red,Unknown Owner,Miami
149,Toyota,Mustang,2018,25000,0,Petrol,White,Unknown Owner,Unknown Location
150,Hyundai,Corolla,2018,40000,15000,Unknown Fuel,Unknown Color,Unknown Owner,Chicago
151,BMW,Accord,2015,40000,100000,Hybrid,White,Unknown Owner,New York
152,BMW,Model S,2020,30000,15000,Petrol,Unknown Color,Third,Phoenix
153,Toyota,Civic,2020,30000,45000,Electric,Red,Second,Los Angeles
154,BMW,Accord,2015,60000,30000,Diesel,White,Second,Miami
155,Honda,Civic,2015,20000,75000,Petrol,White,Unknown Owner,Houston
156,Ford,Civic,2010,60000,60000,Hybrid,Unknown Color,Third,Chicago
157,Unknown Brand,Focus,2018,50000,100000,Diesel,Blue,First,Miami
158,Ford,Civic,2020,25000,60000,Unknown Fuel,Red,Third,Unknown Location
159,Toyota,Mustang,2012,30000,0,Hybrid,Blue,Third,Houston
160,Tesla,Model S,2018,20000,15000,Unknown Fuel,Blue,Third,New York
161,Unknown Brand,Corolla,0,30000,0,Hybrid,Red,Unknown Owner,Miami
162,Toyota,Mustang,2020,60000,45000,Electric,Blue,Unknown Owner,Unknown Location
163,Hyundai,Focus,0,40000,0,Diesel,Red,Third,Houston
164,Tesla,Corolla,2010,50000,30000,Petrol,White,Unknown Owner,Unknown Location
165,Ford,Civic,2018,50000,15000,Unknown Fuel,White,Unknown Owner,Houston
166,Toyota,Unknown Model,2018,40000,60000,Unknown Fuel,Unknown Color,Third,Chicago
167,Hyundai,Accord,0,60000,60000,Unknown Fuel,Gray,Third,New York
168,Unknown Brand,Focus,2020,60000,60000,Electric,Gray,Second,Phoenix
169,Unknown Brand,Civic,2012,40000,0,Electric,Gray,First,Unknown Location
170,Nissan,Focus,2015,50000,60000,Electric,Black,Second,Los Angeles
171,Hyundai,Unknown Model,2012,40000,75000,Hybrid,Gray,Second,Houston
172,Honda,Model S,0,0,15000,Electric,Blue,Second,New York
173,BMW,Mustang,2010,40000,45000,Diesel,Unknown Color,Unknown Owner,Los Angeles
174,Tesla,Model S,2018,25000,100000,Diesel,Black,Unknown Owner,Miami
175,Hyundai,Accord,0,40000,0,Hybrid,Red,Unknown Owner,Unknown Location
176,Nissan,Model S,0,0,100000,Unknown Fuel,Black,First,Unknown Location
177,BMW,Mustang,2020,30000,0,Electric,Unknown Color,Third,Los Angeles
178,BMW,Mustang,2018,30000,15000,Electric,Gray,Third,Phoenix
179,Toyota,Unknown Model,2015,0,30000,Electric,White,Unknown Owner,Unknown Location
180,BMW,Corolla,2012,40000,75000,Unknown Fuel,White,Second,Houston
181,Honda,Unknown Model,2012,20000,30000,Diesel,Silver,Unknown Owner,New York
182,Unknown Brand,Unknown Model,2010,25000,45000,Unknown Fuel,Unknown Color,First,Unknown Location
183,Nissan,Civic,2020,40000,100000,Diesel,Unknown Color,Third,Phoenix
184,BMW,Model S,2015,0,15000,Unknown Fuel,Black,Third,Phoenix
185,Toyota,Focus,0,60000,45000,Hybrid,Silver,Third,Los Angeles
186,Honda,Mustang,2015,50000,100000,Unknown Fuel,Gray,Unknown Owner,New York
187,Ford,Accord,2020,40000,100000,Petrol,Red,Third,Miami
188,Unknown Brand,Corolla,2010,0,30000,Unknown Fuel,Black,Unknown Owner,Chicago
189,Unknown Brand,Mustang,0,60000,60000,Electric,Gray,First,Los Angeles
190,Nissan,Focus,2015,40000,0,Diesel,Black,First,Unknown Location
191,Unknown Brand,Civic,2010,20000,60000,Unknown Fuel,Unknown Color,Third,Los Angeles
192,BMW,Civic,2020,50000,30000,Diesel,Blue,Third,Unknown Location
193,Toyota,Corolla,2020,20000,45000,Petrol,White,First,Chicago
194,Unknown Brand,Focus,2020,25000,30000,Petrol,Unknown Color,First,Los Angeles
195,Unknown Brand,Corolla,2015,25000,60000,Petrol,Black,First,Phoenix
196,Ford,Corolla,2020,0,100000,Unknown Fuel,Gray,Third,Houston
197,Ford,Model S,2015,20000,75000,Electric,Blue,Second,Houston
198,Tesla,Focus,2010,25000,15000,Petrol,Black,Unknown Owner,Phoenix
199,Honda,Model S,2018,0,15000,Electric,Black,Unknown Owner,Houston
200,BMW,Mustang,2010,50000,75000,Electric,White,Unknown Owner,Houston
201,Unknown Brand,Model S,2015,25000,45000,Unknown Fuel,Red,First,Los Angeles
202,Hyundai,Mustang,2012,50000,45000,Petrol,Blue,Second,New York
203,Unknown Brand,Accord,2012,20000,75000,Petrol,Red,First,Unknown Location
204,Toyota,Model S,0,50000,100000,Diesel,White,Unknown Owner,Houston
205,Tesla,Unknown Model,2018,40000,0,Unknown Fuel,White,Third,Houston
206,Honda,Civic,2020,30000,60000,Electric,Gray,Third,Phoenix
207,Hyundai,Civic,2010,20000,100000,Petrol,White,Third,Phoenix
208,Tesla,Unknown Model,2010,50000,45000,Unknown Fuel,Unknown Color,Unknown Owner,Los Angeles
209,Nissan,Mustang,2015,25000,45000,Diesel,Gray,Third,New York
210,Honda,Mustang,0,60000,60000,Diesel,Silver,Unknown Owner,Los Angeles
211,Unknown Brand,Corolla,2018,30000,0,Electric,White,Third,Chicago
212,Unknown Brand,Focus,2020,20000,0,Electric,Silver,Unknown Owner,New York
213,Honda,Focus,2018,60000,30000,Petrol,Gray,Second,Unknown Location
214,Unknown Brand,Focus,2012,25000,100000,Petrol,Black,First,Los Angeles
215,BMW,Model S,0,20000,60000,Diesel,Black,Second,Los Angeles
216,Honda,Focus,2018,50000,15000,Petrol,White,Second,Miami
217,Tesla,Focus,2020,50000,15000,Unknown Fuel,Blue,Second,Miami
218,Honda,Mustang,0,50000,15000,Electric,Red,Unknown Owner,New York
219,Hyundai,Focus,2020,0,60000,Diesel,Black,First,Los Angeles
220,Unknown Brand,Civic,2010,25000,60000,Petrol,Silver,Unknown Owner,New York
221,BMW,Unknown Model,2010,30000,0,Unknown Fuel,Black,Third,Unknown Location
222,BMW,Accord,2020,20000,30000,Petrol,Silver,Second,Miami
223,Nissan,Mustang,2010,25000,30000,Hybrid,Silver,Third,Los Angeles
224,Tesla,Corolla,2010,50000,0,Electric,Unknown Color,First,Los Angeles
225,Ford,Unknown Model,2010,40000,60000,Diesel,Black,Third,Miami
226,Ford,Focus,2020,25000,100000,Diesel,Black,Unknown Owner,New York
227,Honda,Corolla,2010,20000,60000,Diesel,White,First,Los Angeles
228,Nissan,Corolla,2012,40000,60000,Diesel,Red,Unknown Owner,Miami
229,Toyota,Unknown Model,0,30000,15000,Unknown Fuel,Silver,Second,Houston
230,Honda,Unknown Model,2020,40000,0,Hybrid,White,Second,Chicago
231,Nissan,Unknown Model,2018,20000,60000,Electric,Blue,First,New York
232,Tesla,Mustang,0,40000,100000,Electric,Gray,First,New York
233,Tesla,Mustang,2015,50000,0,Petrol,Silver,Unknown Owner,Phoenix
234,Tesla,Accord,0,20000,30000,Petrol,Gray,First,Houston
235,Tesla,Unknown Model,2015,40000,15000,Diesel,Gray,Second,Chicago
236,Tesla,Accord,2012,0,75000,Petrol,Black,Unknown Owner,Miami
237,Nissan,Model S,2020,30000,75000,Petrol,Blue,First,New York
238,Nissan,Civic,2018,30000,30000,Diesel,Gray,Second,Chicago
239,BMW,Accord,2020,30000,0,Diesel,Silver,Second,Unknown Location
240,Hyundai,Civic,2018,0,30000,Petrol,Blue,First,Chicago
241,Ford,Focus,2018,30000,45000,Electric,Black,Third,Unknown Location
242,Unknown Brand,Model S,2020,40000,75000,Electric,Black,Second,Phoenix
243,Tesla,Corolla,0,50000,0,Petrol,Unknown Color,Second,Unknown Location
244,Toyota,Unknown Model,2010,25000,0,Unknown Fuel,White,Unknown Owner,Los Angeles
245,Unknown Brand,Focus,2015,50000,0,Hybrid,Silver,Second,Phoenix
246,Nissan,Corolla,2010,60000,60000,Electric,Silver,Unknown Owner,New York
247,Toyota,Mustang,2015,0,15000,Petrol,Unknown Color,Third,Phoenix
248,Toyota,Civic,2010,60000,75000,Diesel,Silver,Second,New York
249,Toyota,Corolla,2020,0,15000,Hybrid,Blue,Second,Miami
250,BMW,Unknown Model,2020,20000,60000,Electric,Unknown Color,Third,Miami
251,Nissan,Unknown Model,2018,0,30000,Unknown Fuel,Blue,Second,Chicago
252,Toyota,Accord,2012,30000,75000,Hybrid,Silver,Second,Los Angeles
253,Tesla,Accord,2020,0,100000,Petrol,White,Third,New York
254,Honda,Mustang,2015,0,60000,Unknown Fuel,Blue,Unknown Owner,Houston
255,Toyota,Civic,2018,40000,75000,Unknown Fuel,Blue,Unknown Owner,Unknown Location
256,BMW,Unknown Model,2015,40000,100000,Hybrid,Black,Second,Houston
257,Unknown Brand,Model S,2010,50000,45000,Electric,Black,Second,Houston
258,Nissan,Focus,2012,0,0,Diesel,White,Unknown Owner,Chicago
259,Hyundai,Civic,2020,30000,100000,Petrol,Silver,Second,Houston
260,BMW,Civic,2010,60000,60000,Diesel,Blue,First,Unknown Location
261,Toyota,Corolla,2018,40000,15000,Petrol,Black,First,Chicago
262,Nissan,Civic,2015,25000,30000,Unknown Fuel,Black,Unknown Owner,Phoenix
263,Honda,Mustang,0,40000,75000,Unknown Fuel,Gray,First,Miami
264,Toyota,Focus,2012,20000,75000,Petrol,Red,Second,Los Angeles
265,BMW,Model S,2020,20000,15000,Unknown Fuel,Black,Second,Los Angeles
266,Ford,Corolla,2015,60000,75000,Hybrid,Gray,Second,Phoenix
267,Tesla,Focus,2020,0,60000,Hybrid,Red,Third,Houston
268,Hyundai,Accord,2020,0,60000,Diesel,Blue,Second,Unknown Location
269,Unknown Brand,Civic,2015,60000,60000,Electric,Red,Unknown Owner,Phoenix
270,BMW,Mustang,2020,30000,60000,Electric,White,First,New York
271,Nissan,Unknown Model,2018,50000,45000,Diesel,Silver,Third,Unknown Location
272,Hyundai,Accord,2012,60000,60000,Diesel,Blue,Second,New York
273,Hyundai,Unknown Model,2010,50000,75000,Hybrid,Silver,First,Houston
274,Hyundai,Focus,2012,25000,45000,Petrol,Black,First,Miami
275,Toyota,Model S,2010,30000,100000,Hybrid,Red,Third,Los Angeles
276,Tesla,Unknown Model,2018,30000,75000,Electric,White,Third,New York
277,Toyota,Mustang,2012,50000,75000,Electric,Red,First,New York
278,Nissan,Focus,2018,60000,15000,Diesel,Red,Unknown Owner,New York
279,Toyota,Corolla,2015,20000,0,Hybrid,Blue,Unknown Owner,Miami
280,Ford,Civic,2010,50000,15000,Diesel,Red,Unknown Owner,Houston
281,Tesla,Model S,2015,60000,75000,Hybrid,Gray,Third,New York
282,Tesla,Mustang,2015,50000,0,Unknown Fuel,Blue,Unknown Owner,Chicago
283,Nissan,Mustang,2012,25000,75000,Hybrid,Gray,Second,Houston
284,Unknown Brand,Model S,2020,60000,60000,Unknown Fuel,White,First,Miami
285,Ford,Corolla,2020,60000,60000,Hybrid,Red,Third,Houston
286,BMW,Model S,2018,50000,75000,Petrol,Red,First,Chicago
287,Toyota,Focus,2012,60000,75000,Electric,White,First,Miami
288,Honda,Model S,2015,60000,0,Diesel,Silver,Third,Houston
289,Toyota,Model S,0,25000,60000,Petrol,Black,Third,Phoenix
290,Hyundai,Model S,2018,40000,75000,Electric,Blue,Second,Unknown Location
291,Toyota,Focus,2015,0,30000,Unknown Fuel,Gray,Third,Los Angeles
292,BMW,Accord,2018,60000,15000,Diesel,White,Unknown Owner,Phoenix
293,Toyota,Civic,0,0,45000,Electric,Blue,Third,Houston
294,Ford,Unknown Model,2010,20000,75000,Diesel,Blue,Third,Phoenix
295,Ford,Accord,2018,20000,15000,Petrol,Black,Third,Los Angeles
296,Tesla,Model S,2018,40000,60000,Electric,Red,Second,Miami
297,Nissan,Corolla,2015,40000,60000,Diesel,Black,Second,Houston
298,Unknown Brand,Mustang,2020,30000,30000,Unknown Fuel,Silver,Unknown Owner,Miami
299,Honda,Corolla,2015,0,60000,Unknown Fuel,Black,Third,Houston
300,Hyundai,Focus,2012,40000,0,Hybrid,Blue,Third,Los Angeles
301,Toyota,Civic,2015,25000,30000,Hybrid,Black,Third,Chicago
302,Toyota,Model S,0,30000,60000,Diesel,Red,Second,Miami
303,BMW,Focus,2020,30000,45000,Unknown Fuel,Blue,Third,New York
304,Nissan,Unknown Model,2012,0,45000,Electric,White,Unknown Owner,Miami
305,Ford,Civic,0,0,75000,Electric,Gray,Unknown Owner,Chicago
306,Honda,Civic,2020,0,0,Petrol,Red,Unknown Owner,Houston
307,Tesla,Focus,2012,20000,30000,Hybrid,Red,Third,Los Angeles
308,Ford,Accord,2015,60000,0,Unknown Fuel,White,Unknown Owner,Houston
309,Hyundai,Mustang,2020,0,60000,Petrol,Blue,Unknown Owner,Los Angeles
310,Nissan,Corolla,0,20000,75000,Diesel,Silver,Second,Chicago
311,Hyundai,Accord,0,40000,15000,Hybrid,Red,First,Unknown Location
312,Unknown Brand,Civic,2020,60000,60000,Unknown Fuel,Gray,Unknown Owner,Chicago
313,Tesla,Corolla,0,25000,100000,Unknown Fuel,Blue,Second,Unknown Location
314,Unknown Brand,Civic,0,60000,100000,Diesel,Unknown Color,Second,Houston
315,BMW,Mustang,2010,60000,15000,Unknown Fuel,Gray,First,Chicago
316,Hyundai,Civic,2010,60000,75000,Petrol,Blue,First,Los Angeles
317,BMW,Civic,2018,25000,0,Hybrid,Silver,Unknown Owner,Unknown Location
318,Toyota,Unknown Model,2010,30000,60000,Petrol,Black,Unknown Owner,New York
319,Unknown Brand,Corolla,2020,60000,30000,Electric,Red,Unknown Owner,Chicago
320,Nissan,Unknown Model,2018,30000,0,Unknown Fuel,Unknown Color,Unknown Owner,Miami
321,Hyundai,Corolla,2015,60000,15000,Unknown Fuel,White,Third,Phoenix
322,Honda,Mustang,2018,30000,15000,Unknown Fuel,Blue,Third,Unknown Location
323,Tesla,Mustang,0,25000,15000,Diesel,Silver,Second,Phoenix
324,Ford,Unknown Model,2012,30000,45000,Electric,Silver,Third,Houston
325,Nissan,Unknown Model,2018,60000,45000,Electric,Silver,Third,Houston
326,Nissan,Unknown Model,2010,20000,100000,Petrol,Black,First,Chicago
327,BMW,Mustang,2015,30000,0,Unknown Fuel,Red,Unknown Owner,Phoenix
328,Unknown Brand,Mustang,2012,40000,15000,Diesel,Red,Unknown Owner,Phoenix
329,Hyundai,Focus,2018,60000,15000,Petrol,Gray,First,New York
330,Hyundai,Unknown Model,2015,30000,45000,Unknown Fuel,Silver,Second,Los Angeles
331,Toyota,Accord,2010,60000,60000,Electric,Silver,Unknown Owner,Chicago
332,Toyota,Accord,2015,20000,75000,Unknown Fuel,Black,Third,Miami
333,Tesla,Civic,2015,50000,15000,Unknown Fuel,Black,First,Los Angeles
334,BMW,Model S,2012,25000,100000,Electric,Gray,Unknown Owner,New York
335,Nissan,Unknown Model,2020,50000,60000,Unknown Fuel,White,First,Phoenix
336,Hyundai,Model S,2010,60000,15000,Electric,Unknown Color,Third,Miami
337,Honda,Model S,2012,25000,30000,Petrol,Blue,Third,Phoenix
338,BMW,Civic,2012,25000,60000,Hybrid,Gray,First,Chicago
339,Tesla,Model S,2012,20000,75000,Electric,Silver,Second,Phoenix
340,Tesla,Mustang,2020,25000,45000,Petrol,Red,Third,Unknown Location
341,BMW,Model S,2020,60000,30000,Diesel,Unknown Color,Third,Unknown Location
342,Tesla,Mustang,2018,60000,60000,Petrol,Gray,Third,Phoenix
343,BMW,Mustang,2018,0,30000,Electric,Silver,First,Chicago
344,Ford,Accord,2010,30000,100000,Unknown Fuel,Red,Unknown Owner,Phoenix
345,BMW,Mustang,0,20000,45000,Electric,Red,First,Unknown Location
346,Unknown Brand,Model S,2010,30000,75000,Petrol,Silver,First,New York
347,BMW,Corolla,2020,40000,45000,Petrol,Silver,Unknown Owner,Los Angeles
348,Tesla,Unknown Model,2020,60000,30000,Diesel,Unknown Color,Unknown Owner,Phoenix
349,Hyundai,Unknown Model,2020,30000,30000,Hybrid,White,Unknown Owner,Los Angeles
350,Unknown Brand,Model S,2012,20000,45000,Petrol,Black,Third,Houston
351,Tesla,Civic,2020,0,30000,Petrol,Gray,Third,Miami
